Detector_Type, Descriptor_Type, Frame_Range, TTC_Lidar, TTC_Camera
SHITOMASI, ORB, 12-13, 9.3932, 12.4891
SHITOMASI, ORB, 13-14, 9.54557, 11.8034
SHITOMASI, ORB, 14-15, 8.62937, 11.1203
SHITOMASI, ORB, 15-16, 8.67236, 12.1867
SHITOMASI, ORB, 16-17, 11.5561, 12.3667
SHITOMASI, ORB, 17-18, 8.04705, 8.41494
,,,,
SHITOMASI, SIFT, 0-1, 13.144, 14.1064
SHITOMASI, SIFT, 1-2, 12.9549, 13.3275
SHITOMASI, SIFT, 2-3, 16.3229, 13.2474
SHITOMASI, SIFT, 3-4, 15.9883, 12.1506
SHITOMASI, SIFT, 4-5, 11.7422, 12.3765
SHITOMASI, SIFT, 5-6, 15.1703, 14.7141
SHITOMASI, SIFT, 6-7, 11.3822, 13.0229
SHITOMASI, SIFT, 7-8, 12.9842, 13.397
SHITOMASI, SIFT, 8-9, 13.0407, 12.0207
SHITOMASI, SIFT, 9-10, 12.4117, 13.5741
SHITOMASI, SIFT, 10-11, 11.6781, 11.4314
SHITOMASI, SIFT, 11-12, 10.5236, 11.6823
SHITOMASI, SIFT, 12-13, 9.3932, 11.7136
SHITOMASI, SIFT, 13-14, 9.54557, 11.6421
SHITOMASI, SIFT, 14-15, 8.62937, 10.6921
SHITOMASI, SIFT, 15-16, 8.67236, 11.7152
SHITOMASI, SIFT, 16-17, 11.5561, 10.9456
SHITOMASI, SIFT, 17-18, 8.04705, 9.73863
