Detector_Type, Descriptor_Type, Frame_Range, TTC_Lidar, TTC_Camera
BRISK, BRIEF, 3-4, 15.9883, 22.2827
BRISK, BRIEF, 4-5, 11.7422, 21.5876
BRISK, BRIEF, 5-6, 15.1703, 19.9761
BRISK, BRIEF, 6-7, 11.3822, 18.1374
BRISK, BRIEF, 7-8, 12.9842, 20.4296
BRISK, BRIEF, 8-9, 13.0407, 17.6172
BRISK, BRIEF, 9-10, 12.4117, 11.3226
BRISK, BRIEF, 10-11, 11.6781, 12.4988
BRISK, BRIEF, 11-12, 10.5236, 15.5036
BRISK, BRIEF, 12-13, 9.3932, 13.5679
BRISK, BRIEF, 13-14, 9.54557, 12.1552
BRISK, BRIEF, 14-15, 8.62937, 14.0169
BRISK, BRIEF, 15-16, 8.67236, 13.4535
BRISK, BRIEF, 16-17, 11.5561, 11.1
BRISK, BRIEF, 17-18, 8.04705, 11.5668
,,,,
BRISK, BRISK, 0-1, 13.144, 12.3234
BRISK, BRISK, 1-2, 12.9549, 23.5909
BRISK, BRISK, 2-3, 16.3229, 13.8576
BRISK, BRISK, 3-4, 15.9883, 17.6918
BRISK, BRISK, 4-5, 11.7422, 33.8369
BRISK, BRISK, 5-6, 15.1703, 19.5388
BRISK, BRISK, 6-7, 11.3822, 20.3299
BRISK, BRISK, 7-8, 12.9842, 17.9254
BRISK, BRISK, 8-9, 13.0407, 14.9617
BRISK, BRISK, 9-10, 12.4117, 14.1502
BRISK, BRISK, 10-11, 11.6781, 11.5853
BRISK, BRISK, 11-12, 10.5236, 11.752
BRISK, BRISK, 12-13, 9.3932, 12.7867
BRISK, BRISK, 13-14, 9.54557, 11.5021
BRISK, BRISK, 14-15, 8.62937, 14.4644
BRISK, BRISK, 15-16, 8.67236, 10.8146
BRISK, BRISK, 16-17, 11.5561, 9.33336
BRISK, BRISK, 17-18, 8.04705, 11.5975
,,,,
BRISK, FREAK, 0-1, 13.144, 12.3163
BRISK, FREAK, 1-2, 12.9549, 25.1507
BRISK, FREAK, 2-3, 16.3229, 13.5503
BRISK, FREAK, 3-4, 15.9883, 13.9398
BRISK, FREAK, 4-5, 11.7422, 27.9693
BRISK, FREAK, 5-6, 15.1703, 17.5399
BRISK, FREAK, 6-7, 11.3822, 18.2141
BRISK, FREAK, 7-8, 12.9842, 22.0701
BRISK, FREAK, 8-9, 13.0407, 14.8318
BRISK, FREAK, 9-10, 12.4117, 13.5371
BRISK, FREAK, 10-11, 11.6781, 13.1297
BRISK, FREAK, 11-12, 10.5236, 11.1301
BRISK, FREAK, 12-13, 9.3932, 12.5469
BRISK, FREAK, 13-14, 9.54557, 12.1537
BRISK, FREAK, 14-15, 8.62937, 14.9521
BRISK, FREAK, 15-16, 8.67236, 10.1067
BRISK, FREAK, 16-17, 11.5561, 9.46977
BRISK, FREAK, 17-18, 8.04705, 12.4882
,,,,
